tile,band,source_id,local_x,local_y,major,minor,angle_deg,area,large_center_only
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157318,165.937333,13.925533,1.793622,1.788986,-33.253888,10.080633,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157387,315.341632,55.514405,2.714651,1.374867,18.581430,11.725316,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157472,413.142646,98.377607,3.180449,1.937232,73.410883,19.356192,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157480,463.217186,99.462925,0.764779,0.764670,-9.225797,1.837215,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157497,17.929145,106.331803,0.021655,0.021653,-52.110440,0.001473,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157501,447.333251,108.813601,0.794707,0.792865,13.708957,1.979504,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157502,502.321545,112.520145,3.178794,2.056438,89.676836,20.536572,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157620,217.939004,165.951757,2.490839,1.561976,-29.423644,12.222781,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157635,423.758237,174.400685,0.023862,0.023858,-63.810338,0.001788,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157647,82.805650,175.874196,2.001130,1.275209,-32.454347,8.016901,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157665,161.180415,182.705339,0.802295,0.802138,-76.434919,2.021776,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157688,141.904653,197.883940,0.545718,0.545476,-61.110273,0.935176,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157701,447.658421,203.229501,0.402139,0.402002,19.627687,0.507872,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157775,183.110319,233.912787,1.040245,0.849314,76.050825,2.775582,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157816,162.999895,256.171703,0.800111,0.604639,54.421346,1.519835,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157886,316.864958,284.389970,0.584650,0.584275,12.167641,1.073156,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157892,487.531451,288.765167,0.745276,0.743659,-66.639614,1.741167,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342157948,389.796256,323.021376,2.341724,1.685259,-6.337965,12.398016,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158014,208.314224,352.532283,1.064204,1.031767,-84.972751,3.449503,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158022,356.738519,354.656893,0.097628,0.097576,-14.130392,0.029927,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158056,120.051401,364.123379,16.669953,5.604888,-3.040342,293.529115,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158066,177.709113,370.174061,1.351973,1.349628,-47.519393,5.732340,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158067,314.451119,372.286191,1.848787,1.410188,-75.469715,8.190564,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158080,202.975285,382.465034,2.230662,0.968889,-54.007202,6.789811,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158089,87.311527,385.392578,0.501336,0.501182,-87.626348,0.789359,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158179,99.196372,434.433915,3.066483,2.133556,7.926181,20.553912,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158199,450.894625,436.012060,3.720338,2.052095,-12.542524,23.984445,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158220,274.577022,452.626456,3.654829,1.075729,-66.575677,12.351505,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158234,114.142948,458.371439,1.642884,1.266189,64.672727,6.535147,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158247,171.325830,463.010611,0.962290,0.961294,72.873611,2.906110,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158283,438.048755,484.447718,0.489618,0.489340,28.920022,0.752693,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158300,271.359872,493.580738,1.225416,0.500262,24.621350,1.925886,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342158311,418.862961,495.864263,1.211311,1.210949,-10.027040,4.608198,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342161034,310.865798,248.889602,1.577811,1.571829,-53.207746,7.791305,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342161035,412.021363,252.124870,53.203130,26.176575,-2.289640,4375.219780,1
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342161036,337.895229,265.219731,4.935702,2.020893,-88.757429,31.335901,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342161264,333.019209,159.910059,1.492885,0.713671,-45.659900,3.347142,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342161276,302.133953,422.667635,2.648582,2.639626,-44.247128,21.963712,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342161522,2.530656,55.116058,0.025663,0.025661,-50.748118,0.002069,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342161538,469.593006,283.291123,0.485128,0.484985,-59.368016,0.739154,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342161540,474.562029,336.427860,0.015854,0.015853,-49.157749,0.000790,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342182981,51.186922,15.342194,1.767563,1.325991,36.644150,7.363181,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342182985,142.226228,20.450759,2.991479,1.206347,-8.687433,11.337261,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342182986,91.744049,21.121658,3.229916,1.352691,-19.103554,13.725859,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342182995,69.822075,83.938597,3.286259,1.529449,-3.838517,15.790160,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342182996,114.157906,95.944257,0.015483,0.015482,-51.970081,0.000753,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342183001,77.702342,98.772080,2.418739,0.344682,31.906958,2.619133,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342183005,28.311402,24.058370,1.316664,0.573765,-31.786298,2.373334,0
zangetsu_lower_right_x27366_y6453,HSC-I,43158859342183007,213.872465,32.750738,2.694159,0.915067,-89.221402,7.745082,0
