tile,band,source_id,local_x,local_y,major,minor,angle_deg,area,large_center_only
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159468,260.926340,6.445234,1.418096,1.071197,20.703101,4.772268,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159508,291.604115,23.776633,2.667768,1.518337,39.452768,12.725240,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159518,249.854586,28.361146,0.274192,0.274144,-54.161893,0.236148,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159541,269.888062,39.786373,0.445102,0.445027,-8.700147,0.622294,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159549,126.663718,48.054889,4.515040,3.522660,-86.181373,49.966875,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159550,287.982971,48.390247,1.758751,1.758316,46.588946,9.715183,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159680,237.012320,101.441352,2.782456,1.910251,-44.814800,16.698153,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159688,427.924791,104.332880,0.411071,0.410917,-36.779296,0.530665,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159756,501.469130,130.304969,2.268532,2.267030,-60.215515,16.156677,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159772,365.547532,145.037469,5.975936,1.417400,-65.177286,26.610215,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159775,331.998598,137.018797,36.339330,18.092341,1.886333,2065.482643,1
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159787,453.800602,152.545728,2.209469,1.472933,-21.643639,10.223999,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159917,198.796405,209.693190,3.060039,2.197706,71.271830,21.127422,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159926,220.896482,210.275932,0.275956,0.275265,11.583907,0.238639,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342159961,221.544638,229.272861,0.311759,0.311626,-24.209062,0.305212,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160072,508.972754,281.067169,1.270472,0.569713,52.020917,2.273897,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160141,150.553775,311.755341,0.379180,0.379111,-12.441957,0.451608,0
zangetsu_upper_left_x26342_y7477,HSC-I,43158859342160166,40.451996,328.176343,0.937824,0.638452,-72.264034,1.881045,0
