level,dataset,tile,band,GT,TP,FP,FN,precision,recall,clean_GT,clean_TP,clean_FP,clean_FN,clean_precision,clean_recall,ordinary_GT,ordinary_TP,ordinary_FP,ordinary_FN,ordinary_precision,ordinary_recall,total_GT,total_TP,total_FP,total_FN,total_precision,total_recall
band,coadd,zangetsu_lower_right_x27366_y6453,HSC-G,356,334,223,22,0.599640933572711,0.9382022471910112,356,334,223,22,0.599640933572711,0.9382022471910112,45,35,16,10,0.6862745098039216,0.7777777777777778,401,369,239,32,0.6069078947368421,0.9201995012468828
band,coadd,zangetsu_lower_right_x27366_y6453,HSC-R,352,341,236,11,0.5909878682842288,0.96875,352,341,236,11,0.5909878682842288,0.96875,58,45,16,13,0.7377049180327869,0.7758620689655172,410,386,252,24,0.6050156739811913,0.9414634146341463
band,coadd,zangetsu_lower_right_x27366_y6453,HSC-I,339,325,160,14,0.6701030927835051,0.9587020648967551,339,325,160,14,0.6701030927835051,0.9587020648967551,73,58,16,15,0.7837837837837838,0.7945205479452054,412,383,176,29,0.6851520572450805,0.9296116504854369
band,coadd,zangetsu_lower_right_x27366_y6453,HSC-Z,291,281,173,10,0.6189427312775331,0.9656357388316151,291,281,173,10,0.6189427312775331,0.9656357388316151,113,98,33,15,0.7480916030534351,0.8672566371681416,404,379,206,25,0.6478632478632479,0.9381188118811881
band,coadd,zangetsu_lower_right_x27366_y6453,HSC-Y,230,217,122,13,0.640117994100295,0.9434782608695652,230,217,122,13,0.640117994100295,0.9434782608695652,147,125,18,22,0.8741258741258742,0.8503401360544217,377,342,140,35,0.7095435684647303,0.9071618037135278
band,coadd,zangetsu_upper_left_x26342_y7477,HSC-G,286,270,171,16,0.6122448979591837,0.9440559440559441,286,270,171,16,0.6122448979591837,0.9440559440559441,86,64,19,22,0.7710843373493976,0.7441860465116279,372,334,190,38,0.6374045801526718,0.8978494623655914
band,coadd,zangetsu_upper_left_x26342_y7477,HSC-R,290,270,214,20,0.5578512396694215,0.9310344827586207,290,270,214,20,0.5578512396694215,0.9310344827586207,94,69,29,25,0.7040816326530612,0.7340425531914894,384,339,243,45,0.5824742268041238,0.8828125
band,coadd,zangetsu_upper_left_x26342_y7477,HSC-I,284,254,155,30,0.6210268948655256,0.8943661971830986,284,254,155,30,0.6210268948655256,0.8943661971830986,98,84,17,14,0.8316831683168316,0.8571428571428571,382,338,172,44,0.6627450980392157,0.8848167539267016
band,coadd,zangetsu_upper_left_x26342_y7477,HSC-Z,253,240,127,13,0.6539509536784741,0.9486166007905138,253,240,127,13,0.6539509536784741,0.9486166007905138,131,99,27,32,0.7857142857142857,0.7557251908396947,384,339,154,45,0.6876267748478702,0.8828125
band,coadd,zangetsu_upper_left_x26342_y7477,HSC-Y,185,159,85,26,0.6516393442622951,0.8594594594594595,185,159,85,26,0.6516393442622951,0.8594594594594595,166,133,17,33,0.8866666666666667,0.8012048192771084,351,292,102,59,0.7411167512690355,0.8319088319088319
band,denoised,zangetsu_lower_right_x27366_y6453,HSC-G,356,316,210,40,0.6007604562737643,0.8876404494382022,356,316,210,40,0.6007604562737643,0.8876404494382022,45,29,11,16,0.725,0.6444444444444445,401,345,221,56,0.6095406360424028,0.8603491271820449
band,denoised,zangetsu_lower_right_x27366_y6453,HSC-R,352,327,243,25,0.5736842105263158,0.9289772727272727,352,327,243,25,0.5736842105263158,0.9289772727272727,58,40,9,18,0.8163265306122449,0.6896551724137931,410,367,252,43,0.592891760904685,0.8951219512195122
band,denoised,zangetsu_lower_right_x27366_y6453,HSC-I,339,319,268,20,0.5434412265758092,0.9410029498525073,339,319,268,20,0.5434412265758092,0.9410029498525073,73,43,2,30,0.9555555555555556,0.589041095890411,412,362,270,50,0.5727848101265823,0.8786407766990292
band,denoised,zangetsu_lower_right_x27366_y6453,HSC-Z,291,269,226,22,0.5434343434343434,0.9243986254295533,291,269,226,22,0.5434343434343434,0.9243986254295533,113,88,10,25,0.8979591836734694,0.7787610619469026,404,357,236,47,0.6020236087689713,0.8836633663366337
band,denoised,zangetsu_lower_right_x27366_y6453,HSC-Y,230,203,214,27,0.486810551558753,0.8826086956521739,230,203,214,27,0.486810551558753,0.8826086956521739,147,128,34,19,0.7901234567901234,0.8707482993197279,377,331,248,46,0.5716753022452504,0.8779840848806366
band,denoised,zangetsu_upper_left_x26342_y7477,HSC-G,286,256,190,30,0.5739910313901345,0.8951048951048951,286,256,190,30,0.5739910313901345,0.8951048951048951,86,50,6,36,0.8928571428571429,0.5813953488372093,372,306,196,66,0.6095617529880478,0.8225806451612904
band,denoised,zangetsu_upper_left_x26342_y7477,HSC-R,290,261,227,29,0.5348360655737705,0.9,290,261,227,29,0.5348360655737705,0.9,94,59,19,35,0.7564102564102564,0.6276595744680851,384,320,246,64,0.5653710247349824,0.8333333333333334
band,denoised,zangetsu_upper_left_x26342_y7477,HSC-I,284,256,202,28,0.5589519650655022,0.9014084507042254,284,256,202,28,0.5589519650655022,0.9014084507042254,98,72,12,26,0.8571428571428571,0.7346938775510204,382,328,214,54,0.6051660516605166,0.8586387434554974
band,denoised,zangetsu_upper_left_x26342_y7477,HSC-Z,253,226,197,27,0.5342789598108747,0.8932806324110671,253,226,197,27,0.5342789598108747,0.8932806324110671,131,93,13,38,0.8773584905660378,0.7099236641221374,384,319,210,65,0.6030245746691871,0.8307291666666666
band,denoised,zangetsu_upper_left_x26342_y7477,HSC-Y,185,148,148,37,0.5,0.8,185,148,148,37,0.5,0.8,166,120,13,46,0.9022556390977443,0.7228915662650602,351,268,161,83,0.6247086247086248,0.7635327635327636
band,noisy,zangetsu_lower_right_x27366_y6453,HSC-G,356,329,189,27,0.6351351351351351,0.9241573033707865,356,329,189,27,0.6351351351351351,0.9241573033707865,45,30,18,15,0.625,0.6666666666666666,401,359,207,42,0.6342756183745583,0.8952618453865336
band,noisy,zangetsu_lower_right_x27366_y6453,HSC-R,352,326,231,26,0.585278276481149,0.9261363636363636,352,326,231,26,0.585278276481149,0.9261363636363636,58,38,13,20,0.7450980392156863,0.6551724137931034,410,364,244,46,0.5986842105263158,0.8878048780487805
band,noisy,zangetsu_lower_right_x27366_y6453,HSC-I,339,312,172,27,0.6446280991735537,0.9203539823008849,339,312,172,27,0.6446280991735537,0.9203539823008849,73,51,9,22,0.85,0.6986301369863014,412,363,181,49,0.6672794117647058,0.8810679611650486
band,noisy,zangetsu_lower_right_x27366_y6453,HSC-Z,291,274,157,17,0.6357308584686775,0.9415807560137457,291,274,157,17,0.6357308584686775,0.9415807560137457,113,86,25,27,0.7747747747747747,0.7610619469026548,404,360,182,44,0.6642066420664207,0.8910891089108911
band,noisy,zangetsu_lower_right_x27366_y6453,HSC-Y,230,214,120,16,0.6407185628742516,0.9304347826086956,230,214,120,16,0.6407185628742516,0.9304347826086956,147,111,20,36,0.8473282442748091,0.7551020408163265,377,325,140,52,0.6989247311827957,0.8620689655172413
band,noisy,zangetsu_upper_left_x26342_y7477,HSC-G,286,252,163,34,0.6072289156626506,0.8811188811188811,286,252,163,34,0.6072289156626506,0.8811188811188811,86,54,17,32,0.7605633802816901,0.627906976744186,372,306,180,66,0.6296296296296297,0.8225806451612904
band,noisy,zangetsu_upper_left_x26342_y7477,HSC-R,290,258,223,32,0.5363825363825364,0.8896551724137931,290,258,223,32,0.5363825363825364,0.8896551724137931,94,55,23,39,0.7051282051282052,0.5851063829787234,384,313,246,71,0.5599284436493739,0.8151041666666666
band,noisy,zangetsu_upper_left_x26342_y7477,HSC-I,284,249,174,35,0.5886524822695035,0.8767605633802817,284,249,174,35,0.5886524822695035,0.8767605633802817,98,66,11,32,0.8571428571428571,0.673469387755102,382,315,185,67,0.63,0.824607329842932
band,noisy,zangetsu_upper_left_x26342_y7477,HSC-Z,253,230,131,23,0.6371191135734072,0.9090909090909091,253,230,131,23,0.6371191135734072,0.9090909090909091,131,79,16,52,0.8315789473684211,0.6030534351145038,384,309,147,75,0.6776315789473685,0.8046875
band,noisy,zangetsu_upper_left_x26342_y7477,HSC-Y,185,152,97,33,0.6104417670682731,0.8216216216216217,185,152,97,33,0.6104417670682731,0.8216216216216217,166,107,13,59,0.8916666666666667,0.6445783132530121,351,259,110,92,0.7018970189701897,0.7378917378917379
tile,coadd,zangetsu_lower_right_x27366_y6453,ALL,1568,1498,914,70,0.62106135986733,0.9553571428571429,1568,1498,914,70,0.62106135986733,0.9553571428571429,436,361,99,75,0.7847826086956522,0.8279816513761468,2004,1859,1013,145,0.6472841225626741,0.9276447105788423
tile,coadd,zangetsu_upper_left_x26342_y7477,ALL,1298,1193,752,105,0.6133676092544987,0.9191063174114021,1298,1193,752,105,0.6133676092544987,0.9191063174114021,575,449,109,126,0.8046594982078853,0.7808695652173913,1873,1642,861,231,0.65601278465841,0.8766684463427656
