level,dataset,tile,band,total_GT,total_TP,total_FP,total_FN,total_precision,total_recall
band,coadd,zangetsu_lower_right_x27366_y6453,HSC-G,401,369,239,32,0.6069078947368421,0.9201995012468828
band,coadd,zangetsu_lower_right_x27366_y6453,HSC-R,410,386,252,24,0.6050156739811913,0.9414634146341463
band,coadd,zangetsu_lower_right_x27366_y6453,HSC-I,412,383,176,29,0.6851520572450805,0.9296116504854369
band,coadd,zangetsu_lower_right_x27366_y6453,HSC-Z,404,379,206,25,0.6478632478632479,0.9381188118811881
band,coadd,zangetsu_lower_right_x27366_y6453,HSC-Y,377,342,140,35,0.7095435684647303,0.9071618037135278
band,coadd,zangetsu_upper_left_x26342_y7477,HSC-G,372,334,190,38,0.6374045801526718,0.8978494623655914
band,coadd,zangetsu_upper_left_x26342_y7477,HSC-R,384,339,243,45,0.5824742268041238,0.8828125
band,coadd,zangetsu_upper_left_x26342_y7477,HSC-I,382,338,172,44,0.6627450980392157,0.8848167539267016
band,coadd,zangetsu_upper_left_x26342_y7477,HSC-Z,384,339,154,45,0.6876267748478702,0.8828125
band,coadd,zangetsu_upper_left_x26342_y7477,HSC-Y,351,292,102,59,0.7411167512690355,0.8319088319088319
band,denoised,zangetsu_lower_right_x27366_y6453,HSC-G,401,345,221,56,0.6095406360424028,0.8603491271820449
band,denoised,zangetsu_lower_right_x27366_y6453,HSC-R,410,367,252,43,0.592891760904685,0.8951219512195122
band,denoised,zangetsu_lower_right_x27366_y6453,HSC-I,412,362,270,50,0.5727848101265823,0.8786407766990292
band,denoised,zangetsu_lower_right_x27366_y6453,HSC-Z,404,357,236,47,0.6020236087689713,0.8836633663366337
band,denoised,zangetsu_lower_right_x27366_y6453,HSC-Y,377,331,248,46,0.5716753022452504,0.8779840848806366
band,denoised,zangetsu_upper_left_x26342_y7477,HSC-G,372,306,196,66,0.6095617529880478,0.8225806451612904
band,denoised,zangetsu_upper_left_x26342_y7477,HSC-R,384,320,246,64,0.5653710247349824,0.8333333333333334
band,denoised,zangetsu_upper_left_x26342_y7477,HSC-I,382,328,214,54,0.6051660516605166,0.8586387434554974
band,denoised,zangetsu_upper_left_x26342_y7477,HSC-Z,384,319,210,65,0.6030245746691871,0.8307291666666666
band,denoised,zangetsu_upper_left_x26342_y7477,HSC-Y,351,268,161,83,0.6247086247086248,0.7635327635327636
band,noisy,zangetsu_lower_right_x27366_y6453,HSC-G,401,359,207,42,0.6342756183745583,0.8952618453865336
band,noisy,zangetsu_lower_right_x27366_y6453,HSC-R,410,364,244,46,0.5986842105263158,0.8878048780487805
band,noisy,zangetsu_lower_right_x27366_y6453,HSC-I,412,363,181,49,0.6672794117647058,0.8810679611650486
band,noisy,zangetsu_lower_right_x27366_y6453,HSC-Z,404,360,182,44,0.6642066420664207,0.8910891089108911
band,noisy,zangetsu_lower_right_x27366_y6453,HSC-Y,377,325,140,52,0.6989247311827957,0.8620689655172413
band,noisy,zangetsu_upper_left_x26342_y7477,HSC-G,372,306,180,66,0.6296296296296297,0.8225806451612904
band,noisy,zangetsu_upper_left_x26342_y7477,HSC-R,384,313,246,71,0.5599284436493739,0.8151041666666666
band,noisy,zangetsu_upper_left_x26342_y7477,HSC-I,382,315,185,67,0.63,0.824607329842932
band,noisy,zangetsu_upper_left_x26342_y7477,HSC-Z,384,309,147,75,0.6776315789473685,0.8046875
band,noisy,zangetsu_upper_left_x26342_y7477,HSC-Y,351,259,110,92,0.7018970189701897,0.7378917378917379
tile,coadd,zangetsu_lower_right_x27366_y6453,ALL,2004,1859,1013,145,0.6472841225626741,0.9276447105788423
tile,coadd,zangetsu_upper_left_x26342_y7477,ALL,1873,1642,861,231,0.65601278465841,0.8766684463427656
tile,denoised,zangetsu_lower_right_x27366_y6453,ALL,2004,1762,1227,242,0.5894948143191703,0.8792415169660679
tile,denoised,zangetsu_upper_left_x26342_y7477,ALL,1873,1541,1027,332,0.6000778816199377,0.8227442605445809
tile,noisy,zangetsu_lower_right_x27366_y6453,ALL,2004,1771,954,233,0.649908256880734,0.8837325349301397
tile,noisy,zangetsu_upper_left_x26342_y7477,ALL,1873,1502,868,371,0.6337552742616034,0.801922050186866
band_total,coadd,ALL,HSC-G,773,703,429,70,0.6210247349823321,0.9094437257438551
band_total,coadd,ALL,HSC-R,794,725,495,69,0.5942622950819673,0.9130982367758187
band_total,coadd,ALL,HSC-I,794,721,348,73,0.6744621141253508,0.9080604534005038
band_total,coadd,ALL,HSC-Z,788,718,360,70,0.6660482374768089,0.9111675126903553
band_total,coadd,ALL,HSC-Y,728,634,242,94,0.723744292237443,0.8708791208791209
band_total,denoised,ALL,HSC-G,773,651,417,122,0.6095505617977528,0.8421733505821475
band_total,denoised,ALL,HSC-R,794,687,498,107,0.579746835443038,0.8652392947103275
band_total,denoised,ALL,HSC-I,794,690,484,104,0.5877342419080068,0.8690176322418136
band_total,denoised,ALL,HSC-Z,788,676,446,112,0.6024955436720143,0.8578680203045685
band_total,denoised,ALL,HSC-Y,728,599,409,129,0.5942460317460317,0.8228021978021978
band_total,noisy,ALL,HSC-G,773,665,387,108,0.6321292775665399,0.8602846054333765
band_total,noisy,ALL,HSC-R,794,677,490,117,0.5801199657240789,0.8526448362720404
band_total,noisy,ALL,HSC-I,794,678,366,116,0.6494252873563219,0.853904282115869
band_total,noisy,ALL,HSC-Z,788,669,329,119,0.6703406813627254,0.8489847715736041
band_total,noisy,ALL,HSC-Y,728,584,250,144,0.7002398081534772,0.8021978021978022
dataset_total,coadd,ALL,ALL,3877,3501,1874,376,0.6513488372093024,0.9030177972659272
dataset_total,denoised,ALL,ALL,3877,3303,2254,574,0.5943854597804571,0.851947381996389
dataset_total,noisy,ALL,ALL,3877,3273,1822,604,0.6423945044160942,0.8442094402888831
